Date,Actual,Predicted,Match
2025-03-05,1.0,1,True
2025-03-07,0.0,1,False
2025-03-11,0.0,1,False
2025-03-13,1.0,1,True
2025-03-18,1.0,1,True
2025-03-19,1.0,1,True
2025-03-20,1.0,1,True
2025-03-21,1.0,1,True
2025-03-24,0.0,1,False
2025-03-25,0.0,1,False
2025-03-27,0.0,1,False
2025-04-03,0.0,1,False
2025-04-04,0.0,1,False
2025-04-07,1.0,1,True
2025-04-08,0.0,1,False
2025-04-09,1.0,1,True
2025-04-11,1.0,1,True
2025-04-17,1.0,1,True
2025-04-22,1.0,1,True
2025-04-23,1.0,1,True
2025-04-24,0.0,1,False
2025-04-25,1.0,1,True
2025-04-28,0.0,1,False
2025-05-05,0.0,1,False
2025-05-07,0.0,1,False
2025-05-09,1.0,1,True
2025-05-12,1.0,1,True
2025-05-13,1.0,1,True
2025-05-14,1.0,1,True
2025-05-16,0.0,1,False
