Date,Actual,Predicted,Match
2024-09-11,1.0,0,False
2024-09-19,1.0,1,True
2024-09-25,1.0,1,True
2024-09-27,0.0,0,True
2024-10-01,0.0,0,True
2024-10-03,0.0,0,True
2024-10-04,0.0,0,True
2024-10-07,1.0,1,True
2024-10-16,0.0,1,False
2024-10-21,0.0,0,True
2024-10-24,0.0,0,True
2024-11-01,0.0,0,True
2024-11-04,1.0,1,True
2024-11-05,1.0,1,True
2024-11-06,0.0,0,True
2024-11-11,0.0,0,True
2024-11-12,0.0,0,True
2024-11-19,0.0,0,True
2024-11-21,1.0,1,True
2024-11-22,1.0,1,True
2024-11-27,0.0,0,True
2024-11-28,1.0,1,True
2024-12-02,1.0,1,True
2024-12-04,1.0,1,True
2024-12-12,1.0,1,True
2024-12-16,0.0,0,True
2024-12-18,0.0,0,True
2024-12-19,0.0,0,True
2024-12-20,1.0,1,True
2024-12-27,0.0,0,True
