Date,Actual,Predicted,Match
2025-02-03,1.0,1,True
2025-02-06,1.0,0,False
2025-02-10,0.0,0,True
2025-02-11,1.0,1,True
2025-02-13,0.0,1,False
2025-02-14,1.0,1,True
2025-02-17,0.0,0,True
2025-02-20,0.0,0,True
2025-02-21,0.0,0,True
2025-02-25,0.0,0,True
2025-02-27,0.0,0,True
2025-02-28,1.0,1,True
2025-03-18,1.0,1,True
2025-03-24,1.0,1,True
2025-03-26,1.0,1,True
2025-03-28,0.0,0,True
2025-04-01,0.0,0,True
2025-04-02,1.0,1,True
2025-04-04,0.0,0,True
2025-04-08,1.0,1,True
2025-04-11,1.0,1,True
2025-04-16,1.0,1,True
2025-04-23,1.0,1,True
2025-04-25,0.0,0,True
2025-04-28,0.0,0,True
2025-04-29,0.0,0,True
2025-05-08,0.0,0,True
2025-05-09,1.0,1,True
2025-05-14,1.0,0,False
2025-05-19,0.0,0,True
